email,match_query,match_result,score,match_result_values,destTable,sourceTable
user100@example.com,user100@example.com,user10@example.com,97.2972972972973,{'email': 'user10@example.com'},Clientes,Usuarios
user101@example.com,user101@example.com,user10@example.com,97.2972972972973,{'email': 'user10@example.com'},Clientes,Usuarios
user102@example.com,user102@example.com,user10@example.com,97.2972972972973,{'email': 'user10@example.com'},Clientes,Usuarios
user103@example.com,user103@example.com,user10@example.com,97.2972972972973,{'email': 'user10@example.com'},Clientes,Usuarios
user104@example.com,user104@example.com,user10@example.com,97.2972972972973,{'email': 'user10@example.com'},Clientes,Usuarios
user105@example.com,user105@example.com,user10@example.com,97.2972972972973,{'email': 'user10@example.com'},Clientes,Usuarios
user106@example.com,user106@example.com,user10@example.com,97.2972972972973,{'email': 'user10@example.com'},Clientes,Usuarios
user107@example.com,user107@example.com,user10@example.com,97.2972972972973,{'email': 'user10@example.com'},Clientes,Usuarios
user108@example.com,user108@example.com,user10@example.com,97.2972972972973,{'email': 'user10@example.com'},Clientes,Usuarios
user109@example.com,user109@example.com,user10@example.com,97.2972972972973,{'email': 'user10@example.com'},Clientes,Usuarios
user10@example.com,user10@example.com,user10@example.com,100.0,{'email': 'user10@example.com'},Clientes,Usuarios
user110@example.com,user110@example.com,user10@example.com,97.2972972972973,{'email': 'user10@example.com'},Clientes,Usuarios
user111@example.com,user111@example.com,user11@example.com,97.2972972972973,{'email': 'user11@example.com'},Clientes,Usuarios
user112@example.com,user112@example.com,user11@example.com,97.2972972972973,{'email': 'user11@example.com'},Clientes,Usuarios
user113@example.com,user113@example.com,user11@example.com,97.2972972972973,{'email': 'user11@example.com'},Clientes,Usuarios
